stage,category,tier,cost,use,name,url,status,notes
build,icon-fonts,more,free,"asset, open-source font licence",Vscode Codicons,https://microsoft.github.io/vscode-codicons/dist/codicon.html,live,The icon font from Visual Studio Code |
build,icon-fonts,more,free,"asset, open-source font licence",Devicon,https://devicon.dev,live,"Devicon is a set of icons representing programming languages, designing & development tools |"
build,icon-fonts,more,free,"asset, open-source font licence",PaymentFont,https://github.com/AlexanderPoellmann/PaymentFont,live,A sleek web font for payment operators and methods. Featuring 116 icons |
build,icon-fonts,more,free,"asset, open-source font licence",Weather Icons,https://erikflowers.github.io/weather-icons,live,Weather Icons is the only icon font with 222 weather themed icons |
build,icon-fonts,more,free,"asset, open-source font licence",Stroke 7,https://themes-pixeden.com/font-demos/7-stroke/index.html,unverified,202 thin stroke icons inspired by iOS 7 |
build,icon-fonts,more,free,"asset, open-source font licence",Jam Icons,https://jam-icons.com,live,890+ handcrafted icons to make your web app awesome |
build,icon-fonts,more,free,"asset, open-source font licence",Fontello,http://fontello.com,live,200+ web icons where you can customize the names or codes of icons. |
build,icon-fonts,more,free,"asset, open-source font licence",Linea,https://linea.io,live,Linea: Featuring 750+ Free Icons |
build,icon-fonts,more,free,"asset, open-source font licence",Unicons,https://iconscout.com/unicons,live,"A set of 1100+ Free line style icons available as web font, SVG icons, and as components for JS frameworks like React, V"
build,icon-fonts,more,free,"asset, open-source font licence",Mobirise Icons,https://mobiriseicons.com,live,"A free, open source set of 150 elegant, pixel-perfect linear icons, available as web icon font and SVG icons. |"
build,icon-fonts,more,free,"asset, open-source font licence",React Icons,https://react-icons.github.io/react-icons,live,"An Open Source and free Svg Icon Library, it is a collection of your favorite icon libraries like Font Awesome and Mater"
imagery,stock-photos,top,free,see stock-media.md for the licence split,Pexels,https://www.pexels.com,live,Free stock photos shared by talented creators |
imagery,stock-photos,top,free,see stock-media.md for the licence split,Unsplash,https://unsplash.com,live,The internet's source of freely usable images
imagery,stock-photos,top,free,see stock-media.md for the licence split,Pixabay,https://pixabay.com,live,Over 1.7 million+ high-quality stock images and videos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Magdeleine,https://magdeleine.co,live,Gallery & free high-resolution photo everyday |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Picspree,https://picspree.com,dead(dns),"Royalty free images, stock photos, illustrations, and vectors |"
imagery,stock-photos,more,free,see stock-media.md for the licence split,Burst,https://burst.shopify.com,moved,Free stock photos collections |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Gratisography,https://gratisography.com,live,Free collection of free high-resolution pictures |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Life of Pix,https://www.lifeofpix.com,live,Free high-resolution photography |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Stock Snap,https://stocksnap.io,live,Hundreds of high quality photos added weekly |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Morguefile,https://morguefile.com,live,"Over 350,000 free stock photos for commercial use |"
imagery,stock-photos,more,free,see stock-media.md for the licence split,Kaboom Pics,https://kaboompics.com,live,Stock photography and color palettes. Good for product images |
imagery,stock-photos,more,free,see stock-media.md for the licence split,New Old Stock,https://nos.twnsnd.co,live,Stock vintage photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Pic Jumbo,https://picjumbo.com,live,Good collections of different types of photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Public Domain Pictures,https://www.publicdomainpictures.net/en,live,Public domain images of all types |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Find A Photo,https://www.chamberofcommerce.org/findaphoto,live,Searches multiple stock photo websites |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Stockvault,http://www.stockvault.net,live,Categorized stock photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Placeholder,https://placeholder.com,live,A free image placeholder service for the web. You can specify image size and format |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Realistic Shots,https://realisticshots.com,live,Free high-resolution stock photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Negative Space,https://negativespace.co,live,High-Resolution Free Stock Photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,SkitterPhoto,https://skitterphoto.com,live,Free high-resolution photography |
imagery,stock-photos,more,free,see stock-media.md for the licence split,PicoGraphy,https://picography.co,live,"Gorgeous, High-Resolution, Free Photos |"
imagery,stock-photos,more,free,see stock-media.md for the licence split,Wunder Stock,https://wunderstock.com,unverified,Stunningly amazing free photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,PxHere,https://pxhere.com,live,Free Images & Free stock photos - PxHere |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Piqsels,https://piqsels.com,live,Royalty Free Stock Photos |
imagery,stock-photos,more,free,see stock-media.md for the licence split,FoodiesFeed,https://www.foodiesfeed.com,live,Food photo stock |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Nappy,https://www.nappy.co,live,"A website offering Beautiful, high-res photos of black and brown people.|"
imagery,stock-photos,more,free,see stock-media.md for the licence split,Generated Photos,https://generated.photos,live,Unique AI Generated model photos|
imagery,stock-photos,more,free,see stock-media.md for the licence split,Reshot,https://www.reshot.com,moved,"Uniquely free photos. Handpicked, non-stocky images."
imagery,stock-photos,more,free,see stock-media.md for the licence split,Free Images,https://www.freeimages.com,moved,Find and download free stock photos - all free for personal and commercial use|
imagery,stock-photos,more,free,see stock-media.md for the licence split,Lorem Picsum,https://picsum.photos,live,An easy to use API to get beautiful placeholder images. Size and other parameters can be specified. |
imagery,stock-photos,more,free,see stock-media.md for the licence split,scienceimage,https://www.scienceimage.csiro.au,dead(dns),An image library specializing in science and nature images |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Integration & Application Network Image Library,https://ian.umces.edu/imagelibrary,live,"Free images to provide scientists, resource managers, government agencies, community groups and graphics professionals w"
imagery,stock-photos,more,free,see stock-media.md for the licence split,Saxifraga,http://www.freenatureimages.eu,live,Free nature images |
imagery,stock-photos,more,free,see stock-media.md for the licence split,Creative Commons,https://search.creativecommons.org,live,Search for free images to reuse.
imagery,stock-photos,more,free,see stock-media.md for the licence split,AllTheFreeStock,https://allthefreestock.com,live,"a curated list of free stock images, audio and videos."
imagery,stock-photos,more,free,see stock-media.md for the licence split,Lorem.space - Placeholder image generator,https://lorem.space,live,API for placeholder images but useful! |
imagery,stock-photos,top,free,see stock-media.md for the licence split,Openverse,https://openverse.org,live,Openverse is a search engine for openly-licensed media |
imagery,stock-photos,more,free,see stock-media.md for the licence split,ISO Republic,https://isorepublic.com,live,Get Thousands of Free High-Resolution Stock CC0 Photos |
imagery,stock-videos,top,free,see stock-media.md for the licence split,Pexels,https://www.pexels.com/videos,live,"Largest library of free to use videos, donated by the community |"
imagery,stock-videos,top,free,see stock-media.md for the licence split,Pixabay,https://www.pixabay.com/videos,live,"Large library of free to use videos, donated by the community similar to Pexels |"
imagery,stock-videos,top,free,see stock-media.md for the licence split,Coverr.co,https://coverr.co,live,Beautiful free stock video footage |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Videezy,https://www.videezy.com,live,Free HD stock footage & 4K videos |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Mix Kit,https://mixkit.co,live,Stock video clips & music |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Life Of Vids,https://www.lifeofvids.com,unverified,Free video clips and loops |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Videvo,https://www.videvo.net/stock-video-footage,moved,Free and premium stock videos |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Loopvidz,http://stock.loopvidz.com,dead(dns),Free To Use Cinema graphs Created With VIMAGE App |
imagery,stock-videos,more,free,see stock-media.md for the licence split,SplitShire,https://www.splitshire.com,live,Beautiful & exclusive free stock videos & photos |
imagery,stock-videos,more,free,see stock-media.md for the licence split,Free-Stock-Video,https://free-stock.video,live,Free Footage Stock Videos |
imagery,audio,more,free,check the track licence,YouTube Studio Audio Library,https://www.youtube.com/audiolibrary,moved,Royalty-free audio library for downloadable music and sound effects. Cleared for YouTube monetization. |
imagery,audio,more,free,check the track licence,Free Stock Music,https://www.free-stock-music.com,live,"Royalty free stock music for YouTube videos, podcasts, etc |"
imagery,audio,more,free,check the track licence,Bensound,https://www.bensound.com,live,Download Royalty Free Music for free and use it in your project |
imagery,audio,top,free,check the track licence,Mixkit,https://mixkit.co/free-stock-music,live,Free music for your projects |
imagery,audio,top,free,check the track licence,Freesound,https://freesound.org,live,Free stock music and sounds |
imagery,audio,more,free,check the track licence,Free Music Archive,https://freemusicarchive.org,live,Collaborative database of creative-commons licensed sound for musicians and sound lovers |
imagery,audio,more,free,check the track licence,Musopen,https://musopen.org/music,live,An online copyright free classical music library |
imagery,audio,top,free,check the track licence,Pixabay,https://pixabay.com/music,live,"Free music downloads for your project like Youtube videos, Music, Vlog, Film, Podcast etc. |"
imagery,audio,more,free,check the track licence,Unminus,https://www.unminus.com,live,Free Premium Music for Your Projects 🎁 Royalty Free. Cleared for YouTube. |
build,illustrations,more,free,"asset, check the pack licence",PNGFree.ai,https://pngfree.ai,live,PNGFree.ai offers millions of high-quality Free PNG images |
build,illustrations,more,free,"asset, check the pack licence",Vecteezy,https://www.vecteezy.com,live,Find and download free vector art |
build,illustrations,more,paid,"asset, check the pack licence",Freepik,https://www.freepik.com,moved,"Free vectors, stock photos, PSD and icons |"
build,illustrations,more,free,"asset, check the pack licence",Free Vectors,https://www.freevectors.net,live,Community of vector lovers who share free vector graphics |
build,illustrations,more,free,"asset, check the pack licence",PNGTree,https://pngtree.com/free-vectors,live,"png, backgrounds, templates, text effects |"
build,illustrations,more,free,"asset, check the pack licence",Vector4Free,https://www.vector4free.com,live,Free vector graphics |
build,illustrations,more,free,"asset, check the pack licence",Freeble,http://freebbble.com,live,"Vectors, patterns, mockups and more |"
build,illustrations,more,free,"asset, check the pack licence",Lukaszadam,https://lukaszadam.com,live,Free Vector artworks |
build,illustrations,more,free,"asset, check the pack licence",Illlustrations,https://illlustrations.co,live,"Beautiful 100 Illustrations - png, svg |"
build,illustrations,more,free,"asset, check the pack licence",Clipart,https://www.clipart.email,live,"Choose great clipart, png, coloring pages, drawings and more for your projects from the free collection! |"
build,illustrations,more,free,"asset, check the pack licence",Growwwkit illustrations,https://growwwkit.com/illustrations/phonies,unverified,"A set of 8 simple, black & white, stylish illustrations |"
build,illustrations,more,free,"asset, check the pack licence",trianglify.io,https://trianglify.io,live,"Generate low-poly backgrounds, textures, and vectors |"
build,illustrations,more,free,"asset, check the pack licence",blob,https://blobs.app,live,Generate Blob shapes for Web and Flutter apps |
build,illustrations,more,free,"asset, check the pack licence",HiClipart,https://www.hiclipart.com,live,A community for designers to share & download transparent background PNG cliparts |
build,illustrations,more,paid,"asset, check the pack licence",Stories by Freepik,https://stories.freepik.com,moved,A collection of free and customizable illustrations for projects |
build,illustrations,more,free,"asset, check the pack licence",Black Illustrations,https://www.blackillustrations.com,live,Beautiful illustrations of black people (free and premium) |
build,illustrations,more,free,"asset, check the pack licence",Delesign,https://delesign.com/free-designs/graphics,moved,A collection of free illustrations and more |
build,illustrations,more,free,"asset, check the pack licence",Custom Shape Dividers,https://www.shapedivider.app,live,Free tool to make it easier for designers and developers to export a beautiful SVG shape divider |
build,illustrations,more,free,"asset, check the pack licence",Servier Medical Art,https://smart.servier.com,live,3000 free medical images to illustrate your publications and PowerPoint presentations |
build,illustrations,more,free,"asset, check the pack licence",Clker,http://www.clker.com,live,Free clip art you can use for anything you like |
build,illustrations,more,free,"asset, check the pack licence",SVG wave,https://svgwave.in,live,"A free, & customizable gradient 🌈 SVG wave generator for UI designs . |"
build,illustrations,more,free,"asset, check the pack licence",BGjar,https://bgjar.com,live,"Free svg background generator for your websites, blogs and app. |"
build,illustrations,more,free,"asset, check the pack licence",Heritage Library,https://www.heritagetype.com/collections/free-vintage-illustrations,unverified,Vintage Illustrations (vector and png) |
build,illustrations,more,free,"asset, check the pack licence",ROBOHASH,https://robohash.org,live,Generate unique images from any text |
build,illustrations,more,free,"asset, check the pack licence",Tabbied,https://tabbied.com,live,"Create and customize minimally generated patterns/artwork to use for background images, print and other projects. |"
build,illustrations,more,free,"asset, check the pack licence",Haikei,https://app.haikei.app,live,An awesome multishape web app. |
build,illustrations,more,free,"asset, check the pack licence",Vector,https://vector.ma,live,Awesome website for all kinds of Moroccan vectors. |
build,illustrations,more,free,"asset, check the pack licence",Heazy,https://app.heazy.studio,live,Unique vector assets within seconds. |
build,illustrations,more,free,"asset, check the pack licence",Mossaik,https://mossaik.app,live,"Free SVG generator with different tools, waves, tiles, blobs, and more. |"
present,mockups,more,free,"tool, the export is yours",MockCity,https://mockcity.com,live,Bulk generate mockups from PSD templates by automatically placing images in SmartObjects. The visual editor allows you t
present,mockups,more,free,"tool, the export is yours",Smart Mockups,https://smartmockups.com,moved,Create stunning product mockups (free & premium) |
present,mockups,more,free,"tool, the export is yours",Media Modifier,https://mediamodifier.com,live,beautiful design mockups service for your products (free & premium) |
present,mockups,more,free,"tool, the export is yours",Shot Snap,https://shotsnapp.com,live,Create beautiful device mockup images for your app or website design |
present,mockups,top,free,"tool, the export is yours",Screely,https://www.screely.com,live,Instantly turn your screenshot into a mockup |
present,mockups,top,free,"tool, the export is yours",Screenshot.rocks,https://screenshot.rocks,live,Create beautiful browser & mobile mockups in seconds |
present,mockups,more,free,"tool, the export is yours",Screen Peak,https://screenpeek.io,dead(dns),Create a mockup from a URL |
present,mockups,more,free,"tool, the export is yours",Mockup World,https://www.mockupworld.co,live,The biggest source of free photo-realistic Mockups online |
present,mockups,more,free,"tool, the export is yours",Collab Shot,https://www.collabshot.com,live,Real-time screen grabs and image sharing |
present,mockups,more,free,"tool, the export is yours",Facebook Devices,https://facebook.design/devices,unverified,Images and Sketch files of popular devices |
present,mockups,more,free,"tool, the export is yours",Threed.io,https://threed.io,unverified,Generate 3D mockups right in your browser. |
present,mockups,top,free,"tool, the export is yours",Mockuphone,https://mockuphone.com,live,"100% free mockups for all devices including IOS, Android, Windows Phone, Laptop & Desktop and TV |"
present,mockups,top,free,"tool, the export is yours",Device Shots,https://deviceshots.com,live,"Create high-resolution device mockups for social media, for free |"
present,mockups,more,free,"tool, the export is yours",Clean Mock,https://cleanmock.com,live,Create stunning mockups using latest device frames like iPhone X & custom backgrounds that make your mobile or website d
present,mockups,more,free,"tool, the export is yours",Mock.Video,https://www.mock.video,live,Instantly create mockups by adding a device frame to your videos. |
present,mockups,more,free,"tool, the export is yours",MockupBro,https://mockupbro.com,live,"Create product mockups with online mockup generator! Just choose a mockup, upload your design and download your image wi"
present,mockups,more,free,"tool, the export is yours",Animockup,https://github.com/alyssaxuu/animockup,live,Create animated mockups in the browser 🔥. |
present,mockups,more,free,"tool, the export is yours",Heroshot,https://github.com/omachala/heroshot,live,Automate documentation screenshots with visual element picker and theme-aware output |
present,mockups,top,free,"tool, the export is yours",Pika,https://pika.style,live,"Instantly create browser mockups and beautiful images for marketing, blog post and more |"
present,mockups,more,free,"tool, the export is yours",Lunacy,https://icons8.com/lunacy,live,Create mockups from scratch for free |
present,mockups,more,free,"tool, the export is yours",Podifai Mockup Generator,https://podifai.com/tools/mockup-generator,live,"Free online 3D mockup generator for product photos, branding, and e-commerce. No signup required |"
scaffold,templates,more,free,check the template licence,HTML5Up,https://html5up.net,live,"Very modern, unique responsive HTML5/CSS3 themes |"
scaffold,templates,top,free,check the template licence,Templatemo,https://templatemo.com,live,"Minimal, resume, gallery themes and more |"
scaffold,templates,more,free,check the template licence,FreeHTML5,https://freehtml5.co,live,Free & premium HTML5 and Bootstrap themes |
scaffold,templates,more,free,check the template licence,StyleShout,https://www.styleshout.com/free-templates,live,Brilliantly crafted free website templates |
scaffold,templates,top,free,check the template licence,Start Bootstrap,https://startbootstrap.com,live,Bootstrap starter themes |
scaffold,templates,more,free,check the template licence,ThemeWagon,https://themewagon.com/theme-price/free,live,Collection of HTML5 Bootstrap templates from different categories |
scaffold,templates,more,free,check the template licence,Colorlib,https://colorlib.com/wp/templates,live,Almost any category of theme you can think of |
scaffold,templates,more,free,check the template licence,Free CSS,https://www.free-css.com/free-css-templates,unverified,Huge collection of free templates |
scaffold,templates,more,free,check the template licence,Hubspot,https://www.hubspot.com/resources,live,"Templates, infographics, banners and much more|"
scaffold,templates,more,free,check the template licence,Mobirise,https://mobirise.com/html-templates,live,Great looking HTML5/CSS3 templates|
scaffold,templates,more,free,check the template licence,Bootswatch,https://bootswatch.com,live,Free themes for Bootstrap|
scaffold,templates,more,free,check the template licence,Onepagelove,https://onepagelove.com,live,"One-page websites, templates and resources|"
scaffold,templates,more,free,check the template licence,Themes For App,https://themesfor.app,live,Free Bootstrap themes and landing pages|
scaffold,templates,more,free,check the template licence,BootstrapTaste,https://bootstraptaste.com,live,Premium & Free Bootstrap Templates|
scaffold,templates,more,free,check the template licence,BootstrapMade,https://bootstrapmade.com,live,"Elegant, clean and beautiful free templates using Bootstrap. |"
scaffold,templates,more,free,check the template licence,W3Layouts,https://w3layouts.com,live,W3Layouts: 3784+ Free Website Templates for 2020 |
scaffold,templates,more,free,check the template licence,Tooplate,https://www.tooplate.com,live,Tooplate: Free HTML Templates for everyone! |
scaffold,templates,top,free,check the template licence,Cruip,https://cruip.com/free-templates,live,Fully coded HTML templates to help you easily build your startup landing page without hassles. |
scaffold,templates,more,free,check the template licence,UIdeck,https://uideck.com,live,Free Landing Page Templates and Bootstrap Themes |
scaffold,templates,more,free,check the template licence,Splawr,https://splawr.com,live,Free web templates to kickstart your idea! |
scaffold,templates,more,free,check the template licence,W3css_templates,https://www.w3schools.com/w3css/w3css_templates.asp,live,Some responsive W3.CSS website templates for you to use. |
scaffold,templates,more,free,check the template licence,All-Free-Download,https://all-free-download.com/free-website-templates/free-html-css-templates.html,live,Download free-website-templates |
scaffold,templates,more,free,check the template licence,mashup-template,http://www.mashup-template.com/templates.html,dead(dns),HTML5/CSS3 Free Templates |
scaffold,templates,more,free,check the template licence,Sneat Bootstrap 5 HTML Admin Template,https://github.com/themeselection/sneat-html-admin-template-free,live,Open-source & Easy to us Bootstrap 5 HTML Admin Template with Elegant Design & Unique Layout.|
scaffold,templates,more,free,check the template licence,HTMLrev,https://htmlrev.com,live,Free beautiful HTML5 templates and landing pages |
scaffold,templates,more,free,check the template licence,Horizon UI,https://horizon-ui.com,live,Trendiest open source Admin Template for React |
scaffold,templates,more,free,check the template licence,KeenThemes,https://keenthemes.com,live,"Free and Pro Html/Css3, Bootstrap5, Vue, React, Laravel templates |"
scaffold,templates,more,free,check the template licence,ScrewFast,https://github.com/mearashadowfax/ScrewFast,live,"Open-source Astro website template with sleek, customizable TailwindCSS components |"
scaffold,css-frameworks,top,free,open-source framework,Tailwind CSS,https://tailwindcss.com,live,"Low level, utility-first framework |"
scaffold,css-frameworks,top,free,open-source framework,Bootstrap,https://getbootstrap.com,live,Popular UI framework with tons of components that use both CSS and JS |
scaffold,css-frameworks,more,free,open-source framework,Materialize,https://materializecss.com,live,A modern responsive front-end framework based on Material Design |
scaffold,css-frameworks,more,free,open-source framework,Material Design Lite,https://getmdl.io,live,Light framework based on Material Design. No JS dependency |
scaffold,css-frameworks,top,free,open-source framework,Bulma,https://bulma.io,live,Modern CSS framework with no JS |
scaffold,css-frameworks,more,free,open-source framework,Skeleton,http://getskeleton.com,live,Extremely light framework for basic UI elements |
scaffold,css-frameworks,more,free,open-source framework,Uniform CSS,https://uniformcss.com,live,Fully configurable utility generator and CSS framework built entirely in Sass |
scaffold,css-frameworks,more,free,open-source framework,Semantic UI,https://semantic-ui.com,live,Empowers designers and developers by creating a shared vocabulary for UI |
scaffold,css-frameworks,more,free,open-source framework,Fomantic UI,https://fomantic-ui.com,live,A community fork of Semantic-UI |
scaffold,css-frameworks,more,free,open-source framework,Foundation,https://get.foundation,live,Mobile first framework with clean markup |
scaffold,css-frameworks,more,free,open-source framework,Pure CSS,https://purecss.io,moved,"A set of small, responsive CSS modules |"
scaffold,css-frameworks,more,free,open-source framework,UIKit,https://getuikit.com,live,Lightweight and modular front-end framework |
scaffold,css-frameworks,more,free,open-source framework,Susy,https://www.oddbird.net/susy,live,"Lightweight, grid-layout engine for Sass |"
scaffold,css-frameworks,more,free,open-source framework,Milligram.io,https://milligram.io,live,Minimalist CSS framework |
scaffold,css-frameworks,more,free,open-source framework,Vanilla Framework,https://vanillaframework.io,live,"Simple, extensible CSS framework written in Sass |"
scaffold,css-frameworks,more,free,open-source framework,Spectre CSS,https://picturepan2.github.io/spectre,live,"Lightweight, modern CSS framework |"
scaffold,css-frameworks,more,free,open-source framework,Picnic CSS,https://picnicss.com,live,Lightweight and beautiful library |
scaffold,css-frameworks,more,free,open-source framework,Wing,https://kbrsh.github.io/wing,live,A beautiful CSS framework designed for minimalists |
scaffold,css-frameworks,more,free,open-source framework,Chota,https://jenil.github.io/chota,live,A micro (~3kb) CSS framework |
scaffold,css-frameworks,more,free,open-source framework,Blueprint CSS,https://blueprintcss.dev,unverified,A lightweight layout library for building great responsive mobile first UIs that work everywhere |
scaffold,css-frameworks,more,free,open-source framework,W3.CSS,https://www.w3schools.com/w3css,live,"A modern CSS framework with support for desktop, tablet, and mobile design by default. Designed to be independent of jQu"
scaffold,css-frameworks,more,free,open-source framework,98.css,https://jdan.github.io/98.css,live,A design system for building faithful recreations of old UIs |
scaffold,css-frameworks,more,free,open-source framework,NES CSS,https://nostalgic-css.github.io/NES.css,live,NES-style CSS Framework |
scaffold,css-frameworks,more,free,open-source framework,Shoelace.css,https://www.shoelace.style,live,"Lightweight, forward-thinking CSS library built with future CSS syntax |"
scaffold,css-frameworks,more,free,open-source framework,MVP.css,https://andybrewer.github.io/mvp,live,"A minimalist stylesheet for HTML elements. No class names, no frameworks, just semantic HTML and you're done |"
scaffold,css-frameworks,more,free,open-source framework,Blaze.css,http://blazecss.com,unverified,Open source modular CSS toolkit providing great structure for building websites quickly |
scaffold,css-frameworks,more,free,open-source framework,Turret CSS,https://turretcss.com,live,Turret CSS is a styles framework for development of responsive websites. |
scaffold,css-frameworks,more,free,open-source framework,Cutestrap,https://www.cutestrap.com,live,"A strong, independent CSS Framework. |"
scaffold,css-frameworks,more,free,open-source framework,XP.css,https://botoxparty.github.io/XP.css,live,XP.css is an extension of 98.css. A CSS library for building interfaces that look like old UIs. |
scaffold,css-frameworks,more,free,open-source framework,Framework7,https://framework7.io,live,"Framework7 - is a free and open source framework to develop mobile, desktop or web apps with native look and feel. |"
scaffold,css-frameworks,more,free,open-source framework,Hint.css,https://kushagra.dev/lab/hint,live,A pure CSS tooltip library for your lovely websites. |
scaffold,css-frameworks,more,free,open-source framework,imagehover.io,http://imagehover.io,unverified,Pure CSS Image Hover Effect Library |
scaffold,css-frameworks,more,free,open-source framework,mini.css,https://minicss.org,unverified,"A minimal, responsive, style-agnostic CSS framework |"
scaffold,css-frameworks,top,free,open-source framework,Tachyons,https://tachyons.io,live,"Create fast loading, highly readable, and 100% responsive interfaces with as little css as possible. |"
scaffold,css-frameworks,top,free,open-source framework,Material Bootstrap,https://fezvrasta.github.io/bootstrap-material-design,live,Material Design with Bootstrap |
scaffold,css-frameworks,more,free,open-source framework,Ivory,https://github.com/IVORY-UI/ivory,live,A modern CSS framework for developing powerful web interfaces faster and easier |
scaffold,css-frameworks,more,free,open-source framework,Halfmoon UI,https://www.gethalfmoon.com,live,"A responsive and lightweight framework, designed for quickly building beautiful dashboards and product pages. |"
scaffold,css-frameworks,more,free,open-source framework,Metro 4,https://metroui.org.ua/index.html,live,"Create your site quickly and effectively with Metro 4. impressive components library built on html, css, javascript. |"
scaffold,css-frameworks,more,free,open-source framework,css-doodle,https://css-doodle.com,live,A web component for drawing patterns with CSS |
scaffold,css-frameworks,more,free,open-source framework,latex.css,https://latex.now.sh,moved,Make your website look like a LaTeX document |
scaffold,css-frameworks,more,free,open-source framework,Paper CSS,https://github.com/cognitom/paper-css,live,Front-end printing solution |
scaffold,css-frameworks,more,free,open-source framework,Windi CSS,https://windicss.org,live,Next generation compiler for Tailwind CSS |
scaffold,css-frameworks,more,free,open-source framework,Cirrus CSS,https://cirrus-ui.netlify.app,live,A component and utility centric SCSS framework designed for rapid prototyping. |
scaffold,css-frameworks,more,free,open-source framework,Gutenberg,https://github.com/BafS/Gutenberg,live,Modern framework to print the web correctly. |
scaffold,css-frameworks,more,free,open-source framework,lit,https://github.com/ajusa/lit,live,World's smallest responsive fire css framework (395 bytes). |
scaffold,css-frameworks,more,free,open-source framework,Arwes,https://github.com/arwes/arwes,live,"Arwes is a web framework to build user interfaces based on futuristic science fiction designs, animations, and sound eff"
scaffold,css-frameworks,more,free,open-source framework,Bojler,https://bojler.slicejack.com,live,Bojler is an email framework for developing responsive and lightweight email templates that will render correctly across
scaffold,css-frameworks,more,free,open-source framework,Tacit,https://github.com/yegor256/tacit,live,"Primitive CSS Framework for dummies, without classes. |"
scaffold,css-frameworks,more,free,open-source framework,Terminal CSS,https://terminalcss.xyz,live,A modern and minimal CSS framework for terminal lovers. |
scaffold,css-frameworks,more,free,open-source framework,Sakura,https://oxal.org/projects/sakura,live,A minimal classless css framework / theme. |
scaffold,css-frameworks,more,free,open-source framework,DAUB,https://daub.dev,live,"Considered CSS component library - 73 components, 20 theme families, classless mode, AI-ready with llms.txt and MCP serv"
scaffold,css-frameworks,more,free,open-source framework,PSone,https://github.com/micah5/PSone.css,live,"PS1 style CSS Framework, inspired by NES.css. |"
scaffold,css-frameworks,more,free,open-source framework,Marx,https://github.com/mblode/marx,live,Marx is the classless CSS reset to be used in any projects (namely small ones). |
scaffold,css-frameworks,more,free,open-source framework,Tufte,https://github.com/edwardtufte/tufte-css,live,Style your webpage like Edward Tufte's handouts. |
scaffold,css-frameworks,more,free,open-source framework,Axentix,https://useaxentix.com,live,"Axentix is an open source Framework based on CSS Grid using HTML, CSS and JS. |"
scaffold,css-frameworks,more,free,open-source framework,Raster Simple Grid System,https://rsms.me/raster,live,Minimal and straight-forward CSS grid system utilizing descriptive HTML rather than semantic CSS. |
scaffold,css-frameworks,more,free,open-source framework,flowrift,https://flowrift.com/c/banner,live,Flowrift is a library made of beautifully designed Tailwind CSS UI blocks. |
scaffold,css-frameworks,more,free,open-source framework,twind,https://twind.dev,live,"The smallest, fastest, most feature complete tailwind-in-js solution in existence |"
scaffold,css-frameworks,top,free,open-source framework,Pico.css,https://picocss.com,live,Elegant styles for all natives HTML elements without .classes and dark mode automatically enabled. |
scaffold,css-frameworks,more,free,open-source framework,clay.css,https://github.com/codeAdrian/clay.css,live,Extensible and configurable micro CSS util class and SASS mixin for adding claymorphism styles to your components. |
scaffold,css-frameworks,more,free,open-source framework,BeerCSS,https://www.beercss.com,live,"Build Material Design interfaces in record time, without stress for devs 🍻. The first CSS framework that implements Mate"
scaffold,css-frameworks,more,free,open-source framework,UnoCSS,https://unocss.dev,live,"UnoCSS is the instant atomic CSS engine, that is designed to be flexible and extensible. The core is un-opinionated, and"
scaffold,css-frameworks,more,free,open-source framework,StyleX,https://stylexjs.com,live,"StyleX is a simple, easy-to-use JavaScript syntax and compiler for styling web apps. |"
scaffold,css-frameworks,more,free,open-source framework,Orbit,https://github.com/zumerlab/orbit,live,Orbit is the first CSS framework for creating simple or complex radial interfaces. |
build,css-methodology,more,free,reading,OOCSS,http://oocss.org,unverified,"OOCSS concepts help us write components that are flexible, modular and interchangeable. |"
build,css-methodology,more,free,reading,Atomic CSS,https://acss.io,moved,"Atomic CSS is the approach to CSS architecture that favors small, single-purpose classes with names based on visual func"
build,css-methodology,more,free,reading,BEM,http://getbem.com,live,Block Element Modifier is a methodology that helps you to create reusable components and code sharing in front-end devel
build,css-methodology,more,free,reading,SMACSS,http://smacss.com,live,SMACSS is a way to examine your design process and as a way to fit those rigid frameworks into a flexible thought proces
